,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_num_nodes_saved
0,random_allocation,5,0.01,0.05,2.6
1,random_allocation,5,0.02,0.05,2.55
2,random_allocation,5,0.03,0.05,2.25
3,random_allocation,5,0.04,0.05,1.85
4,random_allocation,5,0.05,0.05,2.4
5,random_allocation,5,0.06,0.05,2.7
6,random_allocation,5,0.07,0.05,2.55
7,random_allocation,5,0.08,0.05,2.55
8,random_allocation,5,0.09,0.05,2.35
9,random_allocation,5,0.1,0.05,2.5
10,random_allocation,5,0.01,0.06,2.4
11,random_allocation,5,0.02,0.06,2.45
12,random_allocation,5,0.03,0.06,2.6
13,random_allocation,5,0.04,0.06,2.6
14,random_allocation,5,0.05,0.06,2.35
15,random_allocation,5,0.06,0.06,2.6
16,random_allocation,5,0.07,0.06,2.3
17,random_allocation,5,0.08,0.06,2.25
18,random_allocation,5,0.09,0.06,2.55
19,random_allocation,5,0.1,0.06,2.15
20,random_allocation,5,0.01,0.07,2.3
21,random_allocation,5,0.02,0.07,2.45
22,random_allocation,5,0.03,0.07,2.45
23,random_allocation,5,0.04,0.07,2.45
24,random_allocation,5,0.05,0.07,2.5
25,random_allocation,5,0.06,0.07,2.4
26,random_allocation,5,0.07,0.07,2.3
27,random_allocation,5,0.08,0.07,2.35
28,random_allocation,5,0.09,0.07,2.5
29,random_allocation,5,0.1,0.07,2.15
30,random_allocation,5,0.01,0.08,2.3
31,random_allocation,5,0.02,0.08,2.35
32,random_allocation,5,0.03,0.08,2.8
33,random_allocation,5,0.04,0.08,2.75
34,random_allocation,5,0.05,0.08,1.85
35,random_allocation,5,0.06,0.08,2.55
36,random_allocation,5,0.07,0.08,2.45
37,random_allocation,5,0.08,0.08,2.5
38,random_allocation,5,0.09,0.08,2.45
39,random_allocation,5,0.1,0.08,2.25
40,random_allocation,5,0.01,0.09,2.35
41,random_allocation,5,0.02,0.09,2.3
42,random_allocation,5,0.03,0.09,2.25
43,random_allocation,5,0.04,0.09,2.05
44,random_allocation,5,0.05,0.09,2.25
45,random_allocation,5,0.06,0.09,2.2
46,random_allocation,5,0.07,0.09,2.25
47,random_allocation,5,0.08,0.09,2.45
48,random_allocation,5,0.09,0.09,2.55
49,random_allocation,5,0.1,0.09,2.55
50,random_allocation,5,0.01,0.1,2.6
51,random_allocation,5,0.02,0.1,2.9
52,random_allocation,5,0.03,0.1,1.9
53,random_allocation,5,0.04,0.1,2.9
54,random_allocation,5,0.05,0.1,2.7
55,random_allocation,5,0.06,0.1,2.6
56,random_allocation,5,0.07,0.1,2.9
57,random_allocation,5,0.08,0.1,2.5
58,random_allocation,5,0.09,0.1,2.25
59,random_allocation,5,0.1,0.1,2.15
60,random_allocation,5,0.01,0.11,2.6
61,random_allocation,5,0.02,0.11,2.4
62,random_allocation,5,0.03,0.11,2.55
63,random_allocation,5,0.04,0.11,2.65
64,random_allocation,5,0.05,0.11,2.7
65,random_allocation,5,0.06,0.11,2.1
66,random_allocation,5,0.07,0.11,2.6
67,random_allocation,5,0.08,0.11,2.1
68,random_allocation,5,0.09,0.11,2.15
69,random_allocation,5,0.1,0.11,2.2
70,random_allocation,5,0.01,0.12,2.6
71,random_allocation,5,0.02,0.12,2.3
72,random_allocation,5,0.03,0.12,2.25
73,random_allocation,5,0.04,0.12,2.55
74,random_allocation,5,0.05,0.12,2.8
75,random_allocation,5,0.06,0.12,2.4
76,random_allocation,5,0.07,0.12,2.3
77,random_allocation,5,0.08,0.12,2.2
78,random_allocation,5,0.09,0.12,2.05
79,random_allocation,5,0.1,0.12,2.2
80,random_allocation,5,0.01,0.13,2.3
81,random_allocation,5,0.02,0.13,2.35
82,random_allocation,5,0.03,0.13,2.25
83,random_allocation,5,0.04,0.13,2.2
84,random_allocation,5,0.05,0.13,2.25
85,random_allocation,5,0.06,0.13,2.5
86,random_allocation,5,0.07,0.13,2.2
87,random_allocation,5,0.08,0.13,2.05
88,random_allocation,5,0.09,0.13,2.45
89,random_allocation,5,0.1,0.13,2.15
90,random_allocation,5,0.01,0.14,2.55
91,random_allocation,5,0.02,0.14,2.2
92,random_allocation,5,0.03,0.14,2.55
93,random_allocation,5,0.04,0.14,2.45
94,random_allocation,5,0.05,0.14,2.1
