,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_num_sims
0,random_allocation,5,0.01,0.05,0.5
1,random_allocation,5,0.02,0.05,0.3
2,random_allocation,5,0.03,0.05,0.6
3,random_allocation,5,0.04,0.05,0.75
4,random_allocation,5,0.05,0.05,0.35
5,random_allocation,5,0.06,0.05,0.35
6,random_allocation,5,0.07,0.05,0.65
7,random_allocation,5,0.08,0.05,0.5
8,random_allocation,5,0.09,0.05,0.3
9,random_allocation,5,0.1,0.05,0.5
10,random_allocation,5,0.01,0.06,0.75
11,random_allocation,5,0.02,0.06,0.5
12,random_allocation,5,0.03,0.06,0.3
13,random_allocation,5,0.04,0.06,0.25
14,random_allocation,5,0.05,0.06,0.65
15,random_allocation,5,0.06,0.06,0.4
16,random_allocation,5,0.07,0.06,0.3
17,random_allocation,5,0.08,0.06,0.45
18,random_allocation,5,0.09,0.06,0.45
19,random_allocation,5,0.1,0.06,0.4
20,random_allocation,5,0.01,0.07,0.6
21,random_allocation,5,0.02,0.07,0.25
22,random_allocation,5,0.03,0.07,0.45
23,random_allocation,5,0.04,0.07,0.65
24,random_allocation,5,0.05,0.07,0.3
25,random_allocation,5,0.06,0.07,0.25
26,random_allocation,5,0.07,0.07,0.5
27,random_allocation,5,0.08,0.07,0.5
28,random_allocation,5,0.09,0.07,0.4
29,random_allocation,5,0.1,0.07,0.55
30,random_allocation,5,0.01,0.08,0.45
31,random_allocation,5,0.02,0.08,0.55
32,random_allocation,5,0.03,0.08,0.75
33,random_allocation,5,0.04,0.08,0.1
34,random_allocation,5,0.05,0.08,0.8
35,random_allocation,5,0.06,0.08,0.45
36,random_allocation,5,0.07,0.08,0.55
37,random_allocation,5,0.08,0.08,0.4
38,random_allocation,5,0.09,0.08,0.3
39,random_allocation,5,0.1,0.08,0.6
40,random_allocation,5,0.01,0.09,0.4
41,random_allocation,5,0.02,0.09,0.6
42,random_allocation,5,0.03,0.09,0.6
43,random_allocation,5,0.04,0.09,0.7
44,random_allocation,5,0.05,0.09,0.45
45,random_allocation,5,0.06,0.09,0.65
46,random_allocation,5,0.07,0.09,0.55
47,random_allocation,5,0.08,0.09,0.55
48,random_allocation,5,0.09,0.09,0.25
49,random_allocation,5,0.1,0.09,0.35
50,random_allocation,5,0.01,0.1,0.3
51,random_allocation,5,0.02,0.1,0.35
52,random_allocation,5,0.03,0.1,0.8
53,random_allocation,5,0.04,0.1,0.35
54,random_allocation,5,0.05,0.1,0.2
55,random_allocation,5,0.06,0.1,0.5
56,random_allocation,5,0.07,0.1,0.25
57,random_allocation,5,0.08,0.1,0.45
58,random_allocation,5,0.09,0.1,0.8
59,random_allocation,5,0.1,0.1,0.45
60,random_allocation,5,0.01,0.11,0.4
61,random_allocation,5,0.02,0.11,0.5
62,random_allocation,5,0.03,0.11,0.4
63,random_allocation,5,0.04,0.11,0.35
64,random_allocation,5,0.05,0.11,0.4
65,random_allocation,5,0.06,0.11,0.55
66,random_allocation,5,0.07,0.11,0.8
67,random_allocation,5,0.08,0.11,0.65
68,random_allocation,5,0.09,0.11,0.85
69,random_allocation,5,0.1,0.11,0.1
70,random_allocation,5,0.01,0.12,0.35
71,random_allocation,5,0.02,0.12,0.5
72,random_allocation,5,0.03,0.12,0.15
73,random_allocation,5,0.04,0.12,0.4
74,random_allocation,5,0.05,0.12,0.3
75,random_allocation,5,0.06,0.12,0.3
76,random_allocation,5,0.07,0.12,0.6
77,random_allocation,5,0.08,0.12,0.7
78,random_allocation,5,0.09,0.12,0.6
79,random_allocation,5,0.1,0.12,0.55
80,random_allocation,5,0.01,0.13,0.7
81,random_allocation,5,0.02,0.13,0.35
82,random_allocation,5,0.03,0.13,0.5
83,random_allocation,5,0.04,0.13,0.35
84,random_allocation,5,0.05,0.13,0.35
85,random_allocation,5,0.06,0.13,0.25
86,random_allocation,5,0.07,0.13,0.65
87,random_allocation,5,0.08,0.13,0.7
88,random_allocation,5,0.09,0.13,0.45
89,random_allocation,5,0.1,0.13,0.5
90,random_allocation,5,0.01,0.14,0.35
91,random_allocation,5,0.02,0.14,0.85
92,random_allocation,5,0.03,0.14,0.25
93,random_allocation,5,0.04,0.14,0.35
94,random_allocation,5,0.05,0.14,0.45
95,random_allocation,5,0.06,0.14,0.3
96,random_allocation,5,0.07,0.14,0.35
97,random_allocation,5,0.08,0.14,0.4
98,random_allocation,5,0.09,0.14,0.45
99,random_allocation,5,0.1,0.14,0.5
100,random_allocation,5,0.01,0.15,0.5
101,random_allocation,5,0.02,0.15,0.25
102,random_allocation,5,0.03,0.15,0.4
103,random_allocation,5,0.04,0.15,0.3
104,random_allocation,5,0.05,0.15,0.55
105,random_allocation,5,0.06,0.15,0.6
106,random_allocation,5,0.07,0.15,0.75
107,random_allocation,5,0.08,0.15,0.3
108,random_allocation,5,0.09,0.15,0.35
109,random_allocation,5,0.1,0.15,0.4
110,random_allocation,6,0.01,0.05,0.55
111,random_allocation,6,0.02,0.05,0.8
112,random_allocation,6,0.03,0.05,0.45
113,random_allocation,6,0.04,0.05,0.65
114,random_allocation,6,0.05,0.05,0.9
115,random_allocation,6,0.06,0.05,0.95
116,random_allocation,6,0.07,0.05,0.55
117,random_allocation,6,0.08,0.05,0.85
118,random_allocation,6,0.09,0.05,0.8
119,random_allocation,6,0.1,0.05,0.7
120,random_allocation,6,0.01,0.06,0.7
121,random_allocation,6,0.02,0.06,0.8
122,random_allocation,6,0.03,0.06,0.55
123,random_allocation,6,0.04,0.06,0.6
124,random_allocation,6,0.05,0.06,0.6
125,random_allocation,6,0.06,0.06,0.5
126,random_allocation,6,0.07,0.06,0.8
127,random_allocation,6,0.08,0.06,0.45
128,random_allocation,6,0.09,0.06,0.6
129,random_allocation,6,0.1,0.06,0.65
130,random_allocation,6,0.01,0.07,0.95
131,random_allocation,6,0.02,0.07,0.55
132,random_allocation,6,0.03,0.07,1.05
133,random_allocation,6,0.04,0.07,1.2
134,random_allocation,6,0.05,0.07,0.8
135,random_allocation,6,0.06,0.07,0.75
136,random_allocation,6,0.07,0.07,0.65
137,random_allocation,6,0.08,0.07,1.05
138,random_allocation,6,0.09,0.07,1.15
139,random_allocation,6,0.1,0.07,0.65
140,random_allocation,6,0.01,0.08,0.8
141,random_allocation,6,0.02,0.08,0.45
142,random_allocation,6,0.03,0.08,0.75
143,random_allocation,6,0.04,0.08,0.6
144,random_allocation,6,0.05,0.08,0.65
145,random_allocation,6,0.06,0.08,0.65
146,random_allocation,6,0.07,0.08,0.5
147,random_allocation,6,0.08,0.08,0.6
148,random_allocation,6,0.09,0.08,0.75
149,random_allocation,6,0.1,0.08,0.9
150,random_allocation,6,0.01,0.09,0.65
151,random_allocation,6,0.02,0.09,0.25
152,random_allocation,6,0.03,0.09,0.5
153,random_allocation,6,0.04,0.09,0.75
154,random_allocation,6,0.05,0.09,0.4
155,random_allocation,6,0.06,0.09,0.7
156,random_allocation,6,0.07,0.09,0.7
157,random_allocation,6,0.08,0.09,0.55
158,random_allocation,6,0.09,0.09,0.45
159,random_allocation,6,0.1,0.09,0.85
160,random_allocation,6,0.01,0.1,0.65
161,random_allocation,6,0.02,0.1,0.7
162,random_allocation,6,0.03,0.1,0.85
163,random_allocation,6,0.04,0.1,0.6
164,random_allocation,6,0.05,0.1,0.7
165,random_allocation,6,0.06,0.1,0.85
166,random_allocation,6,0.07,0.1,0.85
167,random_allocation,6,0.08,0.1,0.75
168,random_allocation,6,0.09,0.1,0.75
169,random_allocation,6,0.1,0.1,0.85
170,random_allocation,6,0.01,0.11,0.75
171,random_allocation,6,0.02,0.11,0.85
172,random_allocation,6,0.03,0.11,0.85
173,random_allocation,6,0.04,0.11,1.0
174,random_allocation,6,0.05,0.11,0.45
175,random_allocation,6,0.06,0.11,1.05
176,random_allocation,6,0.07,0.11,0.2
177,random_allocation,6,0.08,0.11,0.55
178,random_allocation,6,0.09,0.11,0.6
179,random_allocation,6,0.1,0.11,0.9
180,random_allocation,6,0.01,0.12,0.8
181,random_allocation,6,0.02,0.12,0.6
182,random_allocation,6,0.03,0.12,1.1
183,random_allocation,6,0.04,0.12,0.35
184,random_allocation,6,0.05,0.12,0.65
185,random_allocation,6,0.06,0.12,1.0
186,random_allocation,6,0.07,0.12,1.05
187,random_allocation,6,0.08,0.12,0.5
188,random_allocation,6,0.09,0.12,1.05
189,random_allocation,6,0.1,0.12,0.75
190,random_allocation,6,0.01,0.13,0.9
191,random_allocation,6,0.02,0.13,0.55
192,random_allocation,6,0.03,0.13,0.75
193,random_allocation,6,0.04,0.13,0.85
194,random_allocation,6,0.05,0.13,0.75
195,random_allocation,6,0.06,0.13,0.75
196,random_allocation,6,0.07,0.13,0.45
197,random_allocation,6,0.08,0.13,0.5
198,random_allocation,6,0.09,0.13,0.75
199,random_allocation,6,0.1,0.13,0.6
200,random_allocation,6,0.01,0.14,0.65
201,random_allocation,6,0.02,0.14,0.95
202,random_allocation,6,0.03,0.14,0.75
203,random_allocation,6,0.04,0.14,0.7
204,random_allocation,6,0.05,0.14,0.7
205,random_allocation,6,0.06,0.14,0.45
206,random_allocation,6,0.07,0.14,0.55
207,random_allocation,6,0.08,0.14,0.75
208,random_allocation,6,0.09,0.14,1.0
209,random_allocation,6,0.1,0.14,0.5
210,random_allocation,6,0.01,0.15,0.75
211,random_allocation,6,0.02,0.15,0.95
212,random_allocation,6,0.03,0.15,0.5
213,random_allocation,6,0.04,0.15,0.6
214,random_allocation,6,0.05,0.15,0.75
215,random_allocation,6,0.06,0.15,0.8
216,random_allocation,6,0.07,0.15,1.05
217,random_allocation,6,0.08,0.15,1.15
218,random_allocation,6,0.09,0.15,0.85
219,random_allocation,6,0.1,0.15,0.6
220,random_allocation,7,0.01,0.05,0.75
221,random_allocation,7,0.02,0.05,0.9
222,random_allocation,7,0.03,0.05,0.9
223,random_allocation,7,0.04,0.05,1.35
224,random_allocation,7,0.05,0.05,1.25
225,random_allocation,7,0.06,0.05,0.7
226,random_allocation,7,0.07,0.05,1.0
227,random_allocation,7,0.08,0.05,1.0
228,random_allocation,7,0.09,0.05,1.3
229,random_allocation,7,0.1,0.05,1.35
230,random_allocation,7,0.01,0.06,0.85
231,random_allocation,7,0.02,0.06,1.3
232,random_allocation,7,0.03,0.06,1.0
233,random_allocation,7,0.04,0.06,0.95
234,random_allocation,7,0.05,0.06,0.8
235,random_allocation,7,0.06,0.06,1.1
236,random_allocation,7,0.07,0.06,0.8
237,random_allocation,7,0.08,0.06,1.0
238,random_allocation,7,0.09,0.06,0.8
239,random_allocation,7,0.1,0.06,1.3
240,random_allocation,7,0.01,0.07,1.1
241,random_allocation,7,0.02,0.07,1.25
242,random_allocation,7,0.03,0.07,0.9
243,random_allocation,7,0.04,0.07,1.15
244,random_allocation,7,0.05,0.07,1.55
245,random_allocation,7,0.06,0.07,1.1
246,random_allocation,7,0.07,0.07,0.95
247,random_allocation,7,0.08,0.07,0.95
248,random_allocation,7,0.09,0.07,0.95
249,random_allocation,7,0.1,0.07,1.0
250,random_allocation,7,0.01,0.08,1.45
251,random_allocation,7,0.02,0.08,1.05
252,random_allocation,7,0.03,0.08,1.2
253,random_allocation,7,0.04,0.08,1.05
254,random_allocation,7,0.05,0.08,1.05
255,random_allocation,7,0.06,0.08,1.2
256,random_allocation,7,0.07,0.08,0.8
