graph_name,num_nodes,num_edges,graph_density,mean_degree,median_degree,degree_std,iqr_degree,degree_amd,node_connectivity,average_clustering,adjacency_matrix_rank,incidence_matrix_rank,laplacian_matrix_rank,bethe_hessian_matrix_rank,modularity_matrix_rank,wiener_index,is_AT_free,has_bridge,is_chordal,clique_number,transitivity,edge_connectivity,node_connectivity,is_distance_regular,local_efficiency,global_efficiency,is_eulerian,is_semi_eulerian
randomRegular_1000_5_18.adjlist,1000,2500,0.005005005005005005,5.0,5.0,0,0.0,0.0,5,0.0024000000000000007,1,1,1,1,999,2345844.0,False,False,False,3,0.0024,5,5,False,0.0024000000000000007,0.22664469707949136,False,False
fastGnp_20_0.01_2.adjlist,7,4,0.19047619047619047,1.1428571428571428,1.0,0.12244897959183675,0.0,0.24489795918367344,0,0.0,1,1,1,1,5,inf,True,True,True,2,0.0,0,0,False,0.0,0.21428571428571427,False,False
powerLawTree_100_3_4.adjlist,100,99,0.02,1.98,1.0,2.9195999999999995,1.0,1.0779999999999998,1,0.0,1,1,1,1,63,75419.0,True,True,True,2,0.0,1,1,False,0.0,0.1463619848880589,False,False
fastGnp_100_0.1_3.adjlist,100,479,0.09676767676767677,9.58,9.0,11.0236,4.0,2.4696000000000002,3,0.09321164181535696,1,1,1,1,99,11173.0,False,False,False,4,0.09912036043767432,3,3,False,0.1469739183899953,0.489814814814809,False,False
fastGnp_20_0.01_23.adjlist,2,1,1.0,1.0,1.0,0,0.0,0.0,1,0.0,1,1,1,1,1,1.0,True,True,True,2,0.0,1,1,True,0.0,1.0,False,True
fastGnp_100_0.1_7.adjlist,100,487,0.09838383838383838,9.74,9.5,9.8924,4.0,2.559999999999999,4,0.08281586877175111,1,1,1,1,99,11113.0,False,False,False,4,0.08650810355714586,4,4,False,0.12057552136239114,0.4920707070706999,False,False
fastGnp_20_0.01_27.adjlist,3,2,0.6666666666666666,1.3333333333333333,1.0,0.2222222222222222,0.5,0.4444444444444444,1,0.0,1,1,1,1,1,4.0,True,True,True,2,0.0,1,1,False,0.0,0.8333333333333334,False,True
fastGnp_20_0.1_18.adjlist,15,16,0.1523809523809524,2.1333333333333333,2.0,0.9155555555555556,2.0,0.8266666666666668,1,0.0,1,1,1,1,13,322.0,False,True,False,2,0.0,1,1,False,0.0,0.4293650793650796,False,False
powerLawTree_100_3_0.adjlist,100,99,0.02,1.98,2.0,3.1595999999999997,1.0,0.9407999999999997,1,0.0,1,1,1,1,69,91202.0,True,True,True,2,0.0,1,1,False,0.0,0.13607811230496394,False,False
randomRegular_100_4_2.adjlist,100,200,0.04040404040404041,4.0,4.0,0,0.0,0.0,4,0.04499999999999999,1,1,1,1,99,17548.0,False,False,False,3,0.045,4,4,False,0.04499999999999999,0.32328619528619695,True,False
powerLawTree_100_3_8.adjlist,100,99,0.02,1.98,1.0,3.5795999999999997,1.0,1.0191999999999997,1,0.0,1,1,1,1,65,82732.0,True,True,True,2,0.0,1,1,False,0.0,0.14245567667772469,False,False
randomRegular_100_4_12.adjlist,100,200,0.04040404040404041,4.0,4.0,0,0.0,0.0,4,0.029999999999999995,1,1,1,1,99,17575.0,False,False,False,3,0.03,4,4,False,0.029999999999999995,0.32315824915825014,True,False
fastGnp_20_0.1_10.adjlist,19,28,0.16374269005847952,2.9473684210526314,3.0,1.4182825484764543,2.0,1.0138504155124657,1,0.0807017543859649,1,1,1,1,17,468.0,False,True,False,3,0.1323529411764706,1,1,False,0.08947368421052633,0.46740462266778043,False,False
randomRegular_1000_5_14.adjlist,1000,2500,0.005005005005005005,5.0,5.0,0,0.0,0.0,5,0.0021000000000000007,1,1,1,1,999,2344469.0,False,False,False,3,0.0021,5,5,False,0.0021000000000000007,0.2267629152977259,False,False
fastGnp_100_0.01_22.adjlist,74,59,0.021843761569788966,1.5945945945945945,1.0,0.6464572680788897,1.0,0.6910153396639882,0,0.0,1,1,1,1,59,inf,False,True,False,2,0.0,0,0,False,0.0,0.057032281347349736,False,False
randomRegular_20_5_26.adjlist,20,50,0.2631578947368421,5.0,5.0,0,0.0,0.0,5,0.23999999999999994,1,1,1,1,19,362.0,False,False,False,4,0.24,5,5,False,0.3058333333333333,0.6035087719298248,False,False
randomRegular_100_4_16.adjlist,100,200,0.04040404040404041,4.0,4.0,0,0.0,0.0,4,0.009999999999999998,1,1,1,1,99,17675.0,False,False,False,3,0.01,4,4,False,0.009999999999999998,0.3218114478114495,True,False
