,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_time
0,random_allocation,5,0.01,0.05,5.5396556854248046e-05
1,random_allocation,5,0.02,0.05,4.862546920776367e-05
2,random_allocation,5,0.03,0.05,4.987716674804687e-05
3,random_allocation,5,0.04,0.05,4.595518112182617e-05
4,random_allocation,5,0.05,0.05,4.667043685913086e-05
5,random_allocation,5,0.06,0.05,4.3964385986328126e-05
6,random_allocation,5,0.07,0.05,5.217790603637695e-05
7,random_allocation,5,0.08,0.05,4.858970642089844e-05
8,random_allocation,5,0.09,0.05,5.041360855102539e-05
9,random_allocation,5,0.1,0.05,5.4275989532470704e-05
10,random_allocation,5,0.01,0.06,4.981756210327148e-05
11,random_allocation,5,0.02,0.06,5.0461292266845704e-05
12,random_allocation,5,0.03,0.06,4.838705062866211e-05
13,random_allocation,5,0.04,0.06,5.2082538604736325e-05
14,random_allocation,5,0.05,0.06,4.456043243408203e-05
15,random_allocation,5,0.06,0.06,5.049705505371094e-05
16,random_allocation,5,0.07,0.06,5.655288696289062e-05
17,random_allocation,5,0.08,0.06,5.003213882446289e-05
18,random_allocation,5,0.09,0.06,5.767345428466797e-05
19,random_allocation,5,0.1,0.06,5.352497100830078e-05
20,random_allocation,5,0.01,0.07,5.284547805786133e-05
21,random_allocation,5,0.02,0.07,5.183219909667969e-05
22,random_allocation,5,0.03,0.07,5.0580501556396486e-05
23,random_allocation,5,0.04,0.07,5.213022232055664e-05
24,random_allocation,5,0.05,0.07,5.17725944519043e-05
25,random_allocation,5,0.06,0.07,5.010366439819336e-05
26,random_allocation,5,0.07,0.07,5.4848194122314456e-05
27,random_allocation,5,0.08,0.07,5.370378494262695e-05
28,random_allocation,5,0.09,0.07,5.5801868438720706e-05
29,random_allocation,5,0.1,0.07,5.12242317199707e-05
30,random_allocation,5,0.01,0.08,4.801750183105469e-05
31,random_allocation,5,0.02,0.08,5.316734313964844e-05
32,random_allocation,5,0.03,0.08,4.4238567352294925e-05
33,random_allocation,5,0.04,0.08,5.127191543579102e-05
34,random_allocation,5,0.05,0.08,5.403757095336914e-05
35,random_allocation,5,0.06,0.08,4.839897155761719e-05
36,random_allocation,5,0.07,0.08,5.075931549072266e-05
37,random_allocation,5,0.08,0.08,4.9114227294921875e-05
38,random_allocation,5,0.09,0.08,4.858970642089844e-05
39,random_allocation,5,0.1,0.08,5.127191543579102e-05
40,random_allocation,5,0.01,0.09,4.9173831939697266e-05
41,random_allocation,5,0.02,0.09,5.601644515991211e-05
42,random_allocation,5,0.03,0.09,5.0055980682373044e-05
43,random_allocation,5,0.04,0.09,5.075931549072266e-05
44,random_allocation,5,0.05,0.09,5.320310592651367e-05
45,random_allocation,5,0.06,0.09,5.1188468933105466e-05
46,random_allocation,5,0.07,0.09,4.830360412597656e-05
47,random_allocation,5,0.08,0.09,5.116462707519531e-05
48,random_allocation,5,0.09,0.09,4.6241283416748044e-05
49,random_allocation,5,0.1,0.09,5.5217742919921874e-05
50,random_allocation,5,0.01,0.1,5.882978439331055e-05
51,random_allocation,5,0.02,0.1,4.363059997558594e-05
52,random_allocation,5,0.03,0.1,5.2917003631591794e-05
53,random_allocation,5,0.04,0.1,5.486011505126953e-05
54,random_allocation,5,0.05,0.1,5.270242691040039e-05
55,random_allocation,5,0.06,0.1,4.514455795288086e-05
56,random_allocation,5,0.07,0.1,4.544258117675781e-05
57,random_allocation,5,0.08,0.1,5.402565002441406e-05
58,random_allocation,5,0.09,0.1,5.425214767456055e-05
59,random_allocation,5,0.1,0.1,6.0391426086425784e-05
60,random_allocation,5,0.01,0.11,5.31315803527832e-05
61,random_allocation,5,0.02,0.11,5.440711975097656e-05
62,random_allocation,5,0.03,0.11,5.081892013549805e-05
63,random_allocation,5,0.04,0.11,4.7218799591064456e-05
64,random_allocation,5,0.05,0.11,4.9567222595214845e-05
65,random_allocation,5,0.06,0.11,4.621744155883789e-05
66,random_allocation,5,0.07,0.11,5.173683166503906e-05
67,random_allocation,5,0.08,0.11,5.168914794921875e-05
68,random_allocation,5,0.09,0.11,5.6242942810058595e-05
69,random_allocation,5,0.1,0.11,5.918741226196289e-05
70,random_allocation,5,0.01,0.12,5.2416324615478514e-05
71,random_allocation,5,0.02,0.12,4.5418739318847656e-05
72,random_allocation,5,0.03,0.12,5.30242919921875e-05
73,random_allocation,5,0.04,0.12,4.8732757568359376e-05
74,random_allocation,5,0.05,0.12,4.8100948333740234e-05
75,random_allocation,5,0.06,0.12,5.697011947631836e-05
76,random_allocation,5,0.07,0.12,4.984140396118164e-05
77,random_allocation,5,0.08,0.12,5.2022933959960935e-05
78,random_allocation,5,0.09,0.12,5.124807357788086e-05
79,random_allocation,5,0.1,0.12,5.366802215576172e-05
80,random_allocation,5,0.01,0.13,5.850791931152344e-05
81,random_allocation,5,0.02,0.13,5.0508975982666014e-05
82,random_allocation,5,0.03,0.13,5.1021575927734375e-05
83,random_allocation,5,0.04,0.13,5.526542663574219e-05
84,random_allocation,5,0.05,0.13,4.93168830871582e-05
85,random_allocation,5,0.06,0.13,5.340576171875e-05
86,random_allocation,5,0.07,0.13,0.024277329444885254
87,random_allocation,5,0.08,0.13,5.3870677947998044e-05
88,random_allocation,5,0.09,0.13,5.729198455810547e-05
89,random_allocation,5,0.1,0.13,5.4824352264404294e-05
90,random_allocation,5,0.01,0.14,4.746913909912109e-05
91,random_allocation,5,0.02,0.14,5.0854682922363284e-05
92,random_allocation,5,0.03,0.14,5.130767822265625e-05
93,random_allocation,5,0.04,0.14,5.003213882446289e-05
94,random_allocation,5,0.05,0.14,5.645751953125e-05
95,random_allocation,5,0.06,0.14,5.038976669311523e-05
96,random_allocation,5,0.07,0.14,5.162954330444336e-05
97,random_allocation,5,0.08,0.14,5.027055740356445e-05
98,random_allocation,5,0.09,0.14,5.042552947998047e-05
99,random_allocation,5,0.1,0.14,6.161928176879883e-05
100,random_allocation,5,0.01,0.15,5.441904067993164e-05
101,random_allocation,5,0.02,0.15,5.272626876831055e-05
102,random_allocation,5,0.03,0.15,6.018877029418945e-05
103,random_allocation,5,0.04,0.15,5.950927734375e-05
104,random_allocation,5,0.05,0.15,4.985332489013672e-05
105,random_allocation,5,0.06,0.15,5.3989887237548825e-05
106,random_allocation,5,0.07,0.15,4.763603210449219e-05
